U1,N1,N2,N111,N112,N121,N122,N131,N132,N141,N142,N211,N212,N221,N222,N231,N232,N241,N242,L
8,10,6,14,14,4,14,6,6,14,14,6,14,10,18,6,2,22,38,1
8,16,6,40,12,16,2,16,4,40,12,20,6,16,2,16,2,26,18,1
8,8,8,8,14,20,8,4,18,8,14,4,10,46,8,8,6,10,20,1
10,4,6,26,18,12,4,4,6,26,18,6,14,18,10,4,6,16,12,1
8,4,38,14,74,4,20,4,20,14,74,6,26,10,26,4,38,16,38,1
9,8,8,22,18,8,10,8,12,22,18,8,20,6,8,6,8,20,18,1
8,18,8,62,18,18,4,18,6,62,18,18,2,18,6,18,6,18,14,1
9,10,12,18,20,4,6,6,6,18,20,6,6,4,6,10,6,18,16,1
9,4,8,26,18,0,6,6,4,26,18,4,4,2,12,4,6,16,16,1
9,10,6,30,24,6,4,2,6,30,24,10,6,20,6,10,6,20,18,1
9,6,8,18,16,4,6,4,8,18,16,6,14,14,6,6,8,14,16,1
7,8,22,14,20,4,20,2,54,14,20,4,44,4,22,4,20,16,24,1
8,6,6,26,18,2,6,2,4,26,18,4,6,0,6,2,6,28,20,1
7,4,34,12,84,4,16,2,14,12,84,10,18,8,20,4,34,10,34,1
8,10,8,12,20,4,16,4,8,12,20,8,14,8,20,6,8,24,18,1
10,4,6,14,18,6,4,6,8,14,18,8,8,2,6,4,6,18,18,1
9,4,10,24,18,2,8,4,8,24,18,6,8,6,8,2,8,12,12,1
9,6,10,12,24,4,12,8,10,12,24,2,6,8,16,6,10,20,14,1
8,8,8,18,20,6,12,6,8,18,20,6,8,2,16,8,8,26,18,1
9,12,8,40,22,8,6,2,6,40,22,8,10,2,10,12,8,26,20,1
9,4,8,14,22,4,10,6,8,14,22,4,6,4,8,4,8,22,20,1
9,6,6,22,18,2,6,2,10,22,18,4,8,8,6,6,6,20,24,1
9,4,10,12,16,10,10,8,8,12,16,6,8,10,14,4,10,12,18,1
8,18,6,20,14,6,6,10,6,20,14,6,6,6,8,12,6,34,24,1
8,18,6,28,22,14,2,6,0,28,22,6,2,30,4,12,2,30,8,1
8,10,4,62,14,8,4,8,4,62,14,12,2,10,6,10,4,10,10,1
8,14,2,20,18,10,2,16,0,20,18,16,2,8,2,12,2,22,16,1
8,4,16,20,62,4,8,4,8,20,62,6,8,14,8,4,16,16,16,1
9,8,8,12,18,8,6,6,14,12,18,8,8,8,8,6,8,18,22,1
8,14,8,74,16,6,6,8,6,74,16,10,10,10,12,14,6,14,20,1
9,10,6,26,14,6,6,6,6,26,14,10,6,14,6,10,6,18,16,1
8,10,8,10,14,10,6,10,8,10,14,4,8,16,18,6,8,26,22,1
8,8,16,22,62,10,8,10,8,22,62,6,12,8,12,8,16,18,16,1
9,6,4,18,14,4,2,4,6,18,14,4,2,8,4,6,4,26,18,1
10,4,4,22,24,6,2,6,4,22,24,8,6,14,2,4,4,20,12,1
9,8,8,26,18,10,10,12,6,26,18,12,6,14,8,6,8,20,14,1
6,22,8,40,20,8,4,36,10,40,20,56,18,8,12,22,8,24,14,1
8,8,8,10,42,4,2,2,4,10,42,4,8,10,8,4,8,22,14,1
6,10,14,26,14,6,8,8,10,26,14,8,6,6,10,8,8,28,22,1
9,6,8,14,30,4,8,4,6,14,30,4,6,6,8,4,8,24,24,1
9,6,8,18,26,6,6,8,6,18,26,8,12,10,6,6,8,24,14,1
7,30,8,62,22,14,6,16,8,62,22,14,12,14,10,30,8,30,14,1
7,8,20,20,62,2,16,18,16,20,62,18,20,2,20,8,20,16,20,1
7,32,4,62,26,20,6,26,6,62,26,30,6,32,4,32,4,32,8,1
8,16,8,60,18,12,4,14,4,60,18,18,6,16,10,16,8,30,20,1
9,10,8,12,40,4,12,10,10,12,40,8,8,8,10,6,8,16,16,1
8,10,12,22,24,10,14,10,12,22,24,10,12,10,20,10,12,20,22,1
7,8,14,18,62,10,12,6,12,18,62,2,12,6,14,4,14,16,14,1
8,14,6,40,18,6,4,10,6,40,18,18,4,12,6,14,6,34,26,1
9,6,6,20,22,6,8,8,8,20,22,6,12,6,8,6,6,18,16,1
7,20,10,74,22,10,6,8,2,74,22,12,4,14,10,20,10,20,32,1
9,8,6,22,20,10,2,6,6,22,20,8,2,8,2,8,6,18,22,1
9,6,8,14,20,6,8,6,12,14,20,6,12,10,8,6,6,22,24,1
8,10,20,26,30,6,14,4,6,26,30,4,6,10,12,10,12,26,30,1
8,8,14,22,62,4,14,2,14,22,62,2,14,6,14,8,14,18,14,1
8,8,12,22,24,8,6,8,6,22,24,16,4,8,12,8,12,18,20,1
9,10,8,26,30,4,12,8,4,26,30,10,12,4,14,10,8,20,16,1
9,8,10,20,22,2,4,8,4,20,22,8,6,6,4,8,10,18,22,1
9,10,4,22,22,8,2,6,6,22,22,4,12,6,0,10,4,22,12,1
9,8,6,14,18,12,6,6,6,14,18,2,6,12,8,4,6,30,26,1
8,6,10,20,18,12,4,20,2,20,18,12,4,18,4,6,8,14,26,1
